               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.020208,           0.0081471,          0.00046336,             0.88293,              0.9335,             0.94959,              0.7183,            0.017591,           0.0041615,          0.00044013,            0.070036,           0.0033294,           0.0033294
                   1,            0.021592,           0.0084072,           0.0005437,             0.90065,             0.90226,             0.94801,             0.70235,             0.01884,            0.004275,          0.00059355,            0.039816,           0.0064429,           0.0064429
                   2,            0.023699,            0.008886,          0.00070842,             0.86787,              0.9211,              0.9382,             0.66429,            0.020893,           0.0049244,           0.0006811,           0.0093758,           0.0093363,           0.0093363
                   3,            0.024866,           0.0094228,          0.00080595,             0.88148,             0.89903,             0.92892,             0.65856,            0.021213,           0.0049153,          0.00074843,             0.00901,             0.00901,             0.00901
                   4,            0.024496,           0.0093251,          0.00085965,             0.86994,             0.90767,             0.92716,             0.64814,            0.021682,           0.0049789,          0.00073638,             0.00901,             0.00901,             0.00901
                   5,            0.024022,           0.0091143,          0.00079614,             0.88252,             0.90663,             0.93171,             0.67471,            0.020596,           0.0047889,          0.00075931,             0.00868,             0.00868,             0.00868
                   6,            0.023533,           0.0090049,          0.00072319,             0.87008,             0.91953,             0.93241,             0.66705,            0.020298,           0.0047631,          0.00070667,             0.00835,             0.00835,             0.00835
                   7,            0.022933,           0.0088892,          0.00072241,             0.87564,             0.91224,             0.93432,             0.69005,            0.019462,           0.0045524,          0.00067581,             0.00802,             0.00802,             0.00802
                   8,            0.022596,           0.0088763,          0.00064975,             0.86917,             0.91737,             0.92949,             0.68545,            0.019101,           0.0046102,          0.00061393,             0.00769,             0.00769,             0.00769
                   9,            0.022178,           0.0086857,          0.00062624,             0.89477,             0.91668,             0.94693,             0.70003,            0.018662,           0.0043887,          0.00061014,             0.00736,             0.00736,             0.00736
                  10,            0.021885,             0.00854,          0.00069428,             0.88751,             0.92028,             0.94051,             0.69894,            0.018675,           0.0044069,          0.00062778,             0.00703,             0.00703,             0.00703
                  11,            0.021752,           0.0085011,          0.00063351,             0.91537,             0.89675,             0.94284,             0.70073,            0.018608,            0.004317,          0.00061741,              0.0067,              0.0067,              0.0067
                  12,            0.021378,           0.0083224,          0.00056266,             0.89029,             0.92436,              0.9452,             0.70641,            0.018266,           0.0043137,          0.00057318,             0.00637,             0.00637,             0.00637
                  13,            0.021083,           0.0083509,          0.00062977,             0.90195,             0.90476,             0.94033,              0.7136,            0.017638,           0.0042509,          0.00058208,             0.00604,             0.00604,             0.00604
                  14,            0.020834,           0.0082753,          0.00057203,             0.88686,               0.926,             0.94211,             0.71217,            0.017687,            0.004237,          0.00050963,             0.00571,             0.00571,             0.00571
                  15,            0.020367,           0.0081562,          0.00059331,             0.89497,             0.91398,             0.94502,             0.71151,            0.017527,           0.0041809,          0.00053842,             0.00538,             0.00538,             0.00538
                  16,            0.020164,           0.0080729,          0.00055618,             0.88261,             0.94028,             0.95069,             0.72254,            0.017297,           0.0042449,          0.00047246,             0.00505,             0.00505,             0.00505
                  17,            0.019923,           0.0080396,          0.00054279,             0.90131,             0.93145,             0.95152,             0.72834,            0.016912,           0.0040741,          0.00046962,             0.00472,             0.00472,             0.00472
                  18,            0.019602,           0.0078487,          0.00056593,             0.88838,              0.9368,             0.95386,             0.73294,            0.016776,           0.0040588,          0.00045219,             0.00439,             0.00439,             0.00439
                  19,            0.019305,           0.0077918,          0.00059391,             0.90738,             0.92841,             0.95265,             0.73435,            0.016715,           0.0040576,          0.00047235,             0.00406,             0.00406,             0.00406
                  20,            0.018897,           0.0076837,          0.00054792,             0.89681,             0.93461,             0.95131,             0.72601,            0.016568,           0.0039824,          0.00047474,             0.00373,             0.00373,             0.00373
                  21,            0.018847,           0.0076679,          0.00053489,             0.88973,             0.94138,             0.95242,             0.73815,            0.016432,           0.0040207,          0.00044646,              0.0034,              0.0034,              0.0034
                  22,            0.018583,           0.0076854,          0.00047542,             0.90063,             0.93518,             0.94791,             0.73981,            0.016168,           0.0039784,          0.00043104,             0.00307,             0.00307,             0.00307
                  23,            0.018257,           0.0074775,          0.00044949,             0.89963,             0.93368,              0.9514,             0.73895,             0.01605,           0.0038958,          0.00042042,             0.00274,             0.00274,             0.00274
                  24,            0.017966,            0.007381,          0.00039332,             0.90543,             0.92614,               0.951,             0.74523,            0.015966,           0.0039255,          0.00040364,             0.00241,             0.00241,             0.00241
                  25,            0.017571,           0.0072719,          0.00044072,              0.8969,             0.93077,             0.95519,              0.7458,             0.01584,             0.00389,           0.0003985,             0.00208,             0.00208,             0.00208
                  26,            0.017476,           0.0073244,          0.00037998,             0.90044,             0.93589,             0.95427,             0.75182,            0.015671,           0.0038566,          0.00038778,             0.00175,             0.00175,             0.00175
                  27,            0.017124,           0.0071345,          0.00037152,             0.90309,             0.94091,             0.95617,             0.75469,            0.015614,           0.0038565,          0.00038333,             0.00142,             0.00142,             0.00142
                  28,            0.017147,           0.0071585,          0.00044827,             0.89831,             0.94845,             0.95728,             0.75482,            0.015447,           0.0038015,          0.00037449,             0.00109,             0.00109,             0.00109
                  29,            0.016653,           0.0070289,          0.00033553,             0.90588,              0.9392,             0.95485,             0.75483,            0.015405,           0.0037819,          0.00037433,             0.00076,             0.00076,             0.00076
