               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.020051,           0.0080109,          0.00043808,             0.90833,             0.92194,             0.94919,             0.71368,            0.018089,           0.0041674,          0.00045702,            0.070036,           0.0033294,           0.0033294
                   1,            0.021162,           0.0083032,          0.00062027,              0.8901,             0.93579,             0.95042,             0.70618,            0.018492,           0.0042431,          0.00057321,            0.039816,           0.0064429,           0.0064429
                   2,            0.022962,           0.0087948,          0.00077372,             0.87912,             0.92218,             0.93671,             0.67014,            0.020532,           0.0045981,          0.00089621,           0.0093758,           0.0093363,           0.0093363
                   3,            0.024352,           0.0093276,          0.00091661,             0.86836,             0.91884,             0.93434,             0.66396,            0.021216,           0.0048802,          0.00074241,             0.00901,             0.00901,             0.00901
                   4,            0.023967,           0.0092061,          0.00076732,             0.87382,             0.90437,             0.93362,             0.66867,             0.02093,           0.0048025,          0.00072751,             0.00901,             0.00901,             0.00901
                   5,             0.02343,           0.0091062,          0.00078337,             0.86891,             0.92773,             0.93892,             0.68757,             0.01986,           0.0046996,          0.00062058,             0.00868,             0.00868,             0.00868
                   6,            0.023097,           0.0089323,          0.00076321,             0.87334,             0.90664,             0.93343,              0.6808,              0.0201,           0.0046914,          0.00063676,             0.00835,             0.00835,             0.00835
                   7,             0.02267,           0.0088616,           0.0007417,              0.8935,             0.90544,             0.94422,             0.68917,            0.019663,           0.0047257,          0.00064709,             0.00802,             0.00802,             0.00802
                   8,            0.022304,           0.0087245,          0.00071562,             0.88386,              0.9222,             0.94132,             0.68727,            0.019376,           0.0045243,          0.00067524,             0.00769,             0.00769,             0.00769
                   9,            0.021785,            0.008613,          0.00072274,             0.89369,              0.9063,              0.9414,              0.6895,            0.019047,           0.0045062,           0.0006553,             0.00736,             0.00736,             0.00736
                  10,            0.021615,           0.0085078,          0.00068516,             0.88185,             0.92527,             0.94103,              0.6966,            0.018789,           0.0044975,          0.00062657,             0.00703,             0.00703,             0.00703
                  11,            0.021228,           0.0084159,          0.00059899,             0.86351,             0.94164,             0.94201,             0.70575,            0.018457,           0.0044341,          0.00064893,              0.0067,              0.0067,              0.0067
                  12,            0.021041,           0.0083454,          0.00054948,             0.91433,             0.89658,             0.94855,             0.71516,            0.017936,           0.0043309,          0.00055051,             0.00637,             0.00637,             0.00637
                  13,            0.020698,            0.008271,          0.00065144,             0.88987,              0.9232,             0.95104,             0.71732,            0.017859,           0.0043316,          0.00057502,             0.00604,             0.00604,             0.00604
                  14,            0.020466,           0.0082625,          0.00051537,             0.89565,             0.92425,              0.9514,             0.71891,            0.017646,           0.0042075,          0.00049036,             0.00571,             0.00571,             0.00571
                  15,            0.020146,           0.0081052,           0.0006062,             0.89253,             0.93284,             0.95282,             0.72352,            0.017446,           0.0041682,          0.00051781,             0.00538,             0.00538,             0.00538
                  16,            0.019875,           0.0079642,          0.00052029,             0.89453,              0.9432,             0.95297,             0.72388,            0.017273,           0.0041165,          0.00050369,             0.00505,             0.00505,             0.00505
                  17,            0.019724,           0.0079612,          0.00049251,             0.89509,             0.93738,             0.95582,             0.73605,            0.016885,           0.0041011,          0.00049011,             0.00472,             0.00472,             0.00472
                  18,            0.019398,           0.0078763,           0.0004842,             0.90265,             0.93387,             0.95551,             0.73508,            0.016741,           0.0040734,          0.00046721,             0.00439,             0.00439,             0.00439
                  19,            0.019158,           0.0078457,          0.00049444,             0.88173,             0.94277,             0.95364,             0.73781,            0.016639,             0.00396,          0.00046339,             0.00406,             0.00406,             0.00406
                  20,            0.018784,            0.007691,           0.0004928,             0.89445,             0.93541,             0.95721,             0.74325,            0.016352,            0.003964,           0.0004403,             0.00373,             0.00373,             0.00373
                  21,            0.018589,           0.0075869,          0.00045257,             0.89496,             0.94074,             0.95503,             0.74149,             0.01621,           0.0039285,          0.00042025,              0.0034,              0.0034,              0.0034
                  22,            0.018381,           0.0075574,          0.00044924,             0.88759,             0.95027,             0.95506,             0.74143,            0.016169,           0.0039639,          0.00043672,             0.00307,             0.00307,             0.00307
                  23,            0.018019,           0.0074403,          0.00042156,             0.90508,             0.92784,             0.95499,             0.74157,            0.016139,           0.0039097,          0.00043203,             0.00274,             0.00274,             0.00274
                  24,            0.017776,           0.0073096,          0.00037187,             0.89449,             0.94276,             0.95587,             0.75071,            0.015908,            0.003859,          0.00041714,             0.00241,             0.00241,             0.00241
                  25,            0.017534,            0.007246,          0.00038952,             0.90831,             0.93371,             0.95904,             0.75255,            0.015817,           0.0038214,          0.00040463,             0.00208,             0.00208,             0.00208
                  26,            0.017262,           0.0071809,          0.00039919,             0.89942,             0.94099,             0.96053,             0.75575,            0.015648,           0.0038022,          0.00037891,             0.00175,             0.00175,             0.00175
                  27,            0.017079,           0.0070769,          0.00032437,             0.89828,             0.95337,             0.96018,              0.7575,            0.015517,            0.003788,          0.00037654,             0.00142,             0.00142,             0.00142
                  28,             0.01691,           0.0070096,          0.00031472,             0.89755,             0.95475,             0.96053,             0.75618,            0.015456,           0.0037786,          0.00037402,             0.00109,             0.00109,             0.00109
                  29,             0.01673,           0.0070008,          0.00032498,             0.90982,             0.94563,             0.96139,             0.75752,            0.015422,            0.003765,          0.00036892,             0.00076,             0.00076,             0.00076
