               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.020035,           0.0081314,          0.00043991,              0.8949,             0.92615,             0.94796,             0.72314,            0.017721,           0.0042418,          0.00044191,            0.070036,           0.0033294,           0.0033294
                   1,            0.021494,           0.0083958,          0.00048955,             0.88962,             0.92617,             0.94663,             0.70902,            0.018658,           0.0043468,          0.00055177,            0.039816,           0.0064429,           0.0064429
                   2,            0.023456,           0.0088582,          0.00062836,             0.87213,             0.92261,             0.93615,             0.65995,            0.020601,           0.0049742,           0.0006101,           0.0093758,           0.0093363,           0.0093363
                   3,            0.024548,           0.0094228,          0.00075411,             0.86433,             0.91755,             0.93061,             0.65827,            0.021585,           0.0050558,          0.00061856,             0.00901,             0.00901,             0.00901
                   4,            0.024202,           0.0092888,          0.00076824,             0.88213,             0.91694,             0.93876,             0.67412,            0.020285,           0.0047715,          0.00070018,             0.00901,             0.00901,             0.00901
                   5,            0.023725,            0.009102,          0.00072103,             0.87234,             0.88855,             0.92378,             0.66511,            0.020604,           0.0048497,          0.00070445,             0.00868,             0.00868,             0.00868
                   6,            0.023237,           0.0090143,          0.00064399,             0.89292,             0.90866,              0.9413,             0.68039,            0.019908,           0.0046522,          0.00064309,             0.00835,             0.00835,             0.00835
                   7,            0.022749,           0.0088569,          0.00063922,             0.88636,             0.91178,             0.93652,             0.68965,            0.019508,           0.0046537,          0.00061493,             0.00802,             0.00802,             0.00802
                   8,             0.02243,           0.0088604,           0.0005945,             0.87803,             0.90682,             0.93404,             0.69413,            0.019148,           0.0045575,          0.00061545,             0.00769,             0.00769,             0.00769
                   9,            0.022064,           0.0086656,          0.00056897,             0.89728,             0.91598,             0.94197,             0.70032,            0.018765,           0.0044303,           0.0005181,             0.00736,             0.00736,             0.00736
                  10,            0.021714,           0.0085192,          0.00062539,             0.90106,             0.90485,             0.94309,             0.69966,            0.018812,           0.0044343,          0.00052153,             0.00703,             0.00703,             0.00703
                  11,             0.02155,           0.0084915,          0.00056903,             0.89162,             0.93431,             0.93961,             0.70296,            0.018353,           0.0043047,          0.00061754,              0.0067,              0.0067,              0.0067
                  12,            0.021111,           0.0083242,           0.0004802,              0.8979,             0.91693,             0.94597,             0.71044,             0.01796,           0.0042292,          0.00061754,             0.00637,             0.00637,             0.00637
                  13,            0.020854,           0.0083099,          0.00056512,             0.89219,             0.92643,              0.9439,             0.72039,            0.017654,             0.00433,          0.00053184,             0.00604,             0.00604,             0.00604
                  14,            0.020818,           0.0083117,          0.00049655,             0.88514,             0.93964,              0.9494,             0.72088,            0.017608,           0.0043006,          0.00049715,             0.00571,             0.00571,             0.00571
                  15,            0.020168,            0.008106,          0.00052652,             0.88119,             0.94383,             0.94935,             0.71948,            0.017274,           0.0042789,          0.00045606,             0.00538,             0.00538,             0.00538
                  16,            0.019957,           0.0080339,          0.00049973,             0.89572,              0.9201,             0.95242,             0.71906,            0.017349,           0.0042831,          0.00047657,             0.00505,             0.00505,             0.00505
                  17,            0.019809,           0.0080237,          0.00052615,              0.9054,             0.91844,             0.95149,             0.72871,            0.016976,           0.0041143,          0.00051281,             0.00472,             0.00472,             0.00472
                  18,            0.019453,           0.0078356,          0.00048683,             0.90903,             0.92249,             0.95341,             0.73276,            0.016867,             0.00411,           0.0004502,             0.00439,             0.00439,             0.00439
                  19,            0.019248,           0.0077608,          0.00056348,             0.88954,             0.93705,             0.95222,             0.73558,             0.01672,           0.0041182,          0.00045626,             0.00406,             0.00406,             0.00406
                  20,            0.018829,            0.007692,          0.00046572,             0.88997,             0.92966,             0.95072,             0.73451,            0.016492,           0.0040499,           0.0004391,             0.00373,             0.00373,             0.00373
                  21,            0.018753,           0.0076341,          0.00049911,              0.8812,             0.94858,             0.95249,             0.73886,            0.016415,           0.0040283,          0.00041498,              0.0034,              0.0034,              0.0034
                  22,            0.018494,           0.0076307,          0.00040666,             0.89581,             0.92922,             0.95185,             0.73872,            0.016264,           0.0039609,          0.00040328,             0.00307,             0.00307,             0.00307
                  23,            0.018114,           0.0074468,          0.00041054,             0.88836,             0.94593,             0.95577,             0.74258,            0.016132,           0.0038887,          0.00042788,             0.00274,             0.00274,             0.00274
                  24,            0.017857,           0.0073801,          0.00036867,              0.8889,             0.94063,             0.95501,             0.74697,            0.015945,           0.0039555,          0.00039381,             0.00241,             0.00241,             0.00241
                  25,            0.017517,           0.0072603,          0.00037002,             0.89703,             0.93384,              0.9562,             0.75001,             0.01576,           0.0038841,          0.00040759,             0.00208,             0.00208,             0.00208
                  26,            0.017447,           0.0073224,          0.00034535,             0.89657,             0.92824,             0.95489,             0.75261,            0.015808,           0.0039103,           0.0003745,             0.00175,             0.00175,             0.00175
                  27,            0.017122,           0.0071399,          0.00035066,             0.89845,             0.94024,             0.95874,             0.75509,            0.015602,           0.0038377,          0.00037069,             0.00142,             0.00142,             0.00142
                  28,            0.017106,           0.0071493,           0.0004041,             0.90442,             0.93748,             0.95752,             0.75813,            0.015457,           0.0038262,          0.00037006,             0.00109,             0.00109,             0.00109
                  29,            0.016628,           0.0070106,          0.00030342,             0.90142,             0.93604,             0.95751,             0.75587,            0.015382,           0.0038113,          0.00036577,             0.00076,             0.00076,             0.00076
