               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.033574,            0.049315,           0.0037131,             0.87435,             0.76039,             0.85797,             0.60516,            0.024779,            0.026229,           0.0020281,            0.070034,           0.0033295,           0.0033295
                   1,             0.03424,            0.048227,           0.0034322,             0.88031,             0.76788,             0.86418,             0.61348,            0.024735,            0.025817,           0.0021258,            0.039814,            0.006443,            0.006443
                   2,            0.035984,            0.048671,           0.0034875,             0.85194,             0.75388,             0.84106,             0.58017,            0.026208,            0.027598,            0.002559,           0.0093744,           0.0093365,           0.0093365
                   3,            0.035974,            0.049104,           0.0036016,             0.87132,             0.74949,             0.85312,             0.59264,            0.025399,            0.026496,            0.002654,             0.00901,             0.00901,             0.00901
                   4,            0.034874,            0.048054,           0.0034512,              0.8708,             0.74056,             0.84148,             0.58893,            0.025372,            0.026992,           0.0024538,             0.00901,             0.00901,             0.00901
                   5,            0.034005,            0.046886,           0.0033432,             0.87521,             0.76829,             0.85953,             0.60479,            0.024533,            0.026022,           0.0022275,             0.00868,             0.00868,             0.00868
                   6,            0.033308,             0.04659,           0.0031978,             0.87404,             0.75935,             0.85147,             0.60316,            0.024541,            0.025867,           0.0023019,             0.00835,             0.00835,             0.00835
                   7,            0.032765,            0.046046,           0.0031491,             0.88795,             0.76062,             0.85744,             0.61795,            0.023818,            0.025565,           0.0021714,             0.00802,             0.00802,             0.00802
                   8,            0.032259,             0.04552,           0.0030533,             0.87625,             0.76264,             0.85341,             0.60864,            0.024086,            0.025619,           0.0022236,             0.00769,             0.00769,             0.00769
                   9,            0.031777,             0.04452,            0.002932,             0.88189,             0.77443,             0.86478,             0.61678,            0.023888,            0.024754,           0.0020502,             0.00736,             0.00736,             0.00736
                  10,            0.031371,            0.044628,           0.0029093,              0.8923,             0.76617,             0.86283,             0.62526,            0.023044,             0.02487,           0.0020308,             0.00703,             0.00703,             0.00703
                  11,             0.03115,            0.043905,            0.002867,             0.88462,             0.75943,             0.86234,             0.62254,            0.023195,            0.025168,           0.0020784,              0.0067,              0.0067,              0.0067
                  12,            0.030652,            0.043737,           0.0027426,             0.88905,             0.76148,             0.85752,             0.62082,            0.022944,            0.024752,           0.0021751,             0.00637,             0.00637,             0.00637
                  13,            0.030428,            0.043601,           0.0027464,             0.88976,             0.75567,             0.86062,             0.62686,            0.022796,            0.025127,           0.0019078,             0.00604,             0.00604,             0.00604
                  14,            0.029953,            0.042632,           0.0026462,             0.88233,             0.78265,             0.87045,             0.63276,            0.022534,            0.024412,           0.0018498,             0.00571,             0.00571,             0.00571
                  15,            0.029827,            0.042498,           0.0026616,             0.88436,             0.77697,             0.87101,             0.63471,              0.0225,            0.024428,           0.0019319,             0.00538,             0.00538,             0.00538
                  16,            0.029535,            0.042284,           0.0025759,             0.89077,             0.77065,             0.86113,             0.62859,            0.022824,            0.025028,           0.0020489,             0.00505,             0.00505,             0.00505
                  17,            0.029277,            0.041945,           0.0024913,             0.89463,             0.77185,             0.86724,             0.63789,            0.022353,            0.024714,           0.0019203,             0.00472,             0.00472,             0.00472
                  18,            0.028883,            0.041062,            0.002495,             0.89089,              0.7784,             0.86991,             0.63829,            0.022102,              0.0242,           0.0019665,             0.00439,             0.00439,             0.00439
                  19,            0.028542,            0.040859,           0.0024066,             0.89001,             0.77138,             0.86141,             0.63696,            0.022229,            0.024482,           0.0018198,             0.00406,             0.00406,             0.00406
                  20,            0.028485,            0.040862,           0.0024277,             0.89521,             0.77659,             0.86899,             0.64119,            0.022017,             0.02429,           0.0019548,             0.00373,             0.00373,             0.00373
                  21,            0.028315,            0.040664,           0.0023842,             0.89593,             0.77847,              0.8719,             0.64552,            0.021881,            0.024249,           0.0018599,              0.0034,              0.0034,              0.0034
                  22,            0.027947,            0.040281,           0.0023098,             0.89133,             0.78155,             0.87284,             0.64585,            0.021913,             0.02402,           0.0019374,             0.00307,             0.00307,             0.00307
                  23,            0.027745,             0.03994,           0.0022978,             0.89559,             0.78908,             0.87676,             0.65164,            0.021617,            0.023647,           0.0018113,             0.00274,             0.00274,             0.00274
                  24,            0.027474,            0.039356,           0.0022443,             0.89016,             0.78349,             0.87285,             0.64888,            0.021631,            0.023836,           0.0018136,             0.00241,             0.00241,             0.00241
                  25,            0.027395,            0.039413,            0.002186,             0.88996,             0.79079,             0.87686,             0.65399,            0.021566,             0.02399,           0.0017597,             0.00208,             0.00208,             0.00208
                  26,             0.02719,            0.038867,           0.0022098,             0.89916,             0.77974,             0.87214,              0.6507,            0.021614,            0.024133,           0.0018096,             0.00175,             0.00175,             0.00175
                  27,            0.027052,            0.039074,           0.0021322,             0.88965,             0.78143,             0.86984,             0.65264,             0.02165,            0.024231,           0.0020098,             0.00142,             0.00142,             0.00142
                  28,            0.026924,             0.03862,            0.002131,             0.89162,             0.78339,             0.87195,             0.65349,            0.021459,            0.024047,           0.0018889,             0.00109,             0.00109,             0.00109
                  29,            0.026643,             0.03823,           0.0020664,             0.89433,             0.78076,             0.87262,             0.65333,            0.021445,            0.023889,           0.0018753,             0.00076,             0.00076,             0.00076
