               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.055677,            0.036303,            0.011042,             0.58103,             0.59116,             0.60168,              0.3592,            0.035302,            0.022269,           0.0097187,             0.07001,           0.0033322,           0.0033322
                   1,            0.041737,            0.028381,           0.0051047,             0.72789,             0.58943,              0.6457,             0.40195,            0.032239,            0.032501,            0.011164,             0.03979,           0.0064456,           0.0064456
                   2,            0.038663,            0.027687,           0.0042495,             0.82274,             0.74265,             0.80662,             0.50704,            0.028665,            0.020656,           0.0029613,           0.0093499,            0.009339,            0.009339
                   3,            0.035946,            0.026931,           0.0037417,             0.82007,             0.71717,             0.77176,              0.5092,            0.027706,            0.025567,           0.0040537,             0.00901,             0.00901,             0.00901
                   4,            0.034004,             0.02591,            0.003403,             0.82207,             0.68585,             0.73913,             0.49844,            0.028544,            0.030287,            0.006855,             0.00901,             0.00901,             0.00901
                   5,            0.032716,            0.025227,           0.0031952,             0.84965,             0.73068,             0.79256,             0.54386,            0.025868,            0.025409,           0.0041257,             0.00868,             0.00868,             0.00868
                   6,            0.031988,            0.024974,           0.0030553,             0.82521,             0.72641,             0.78187,             0.53896,            0.025509,            0.027656,           0.0038099,             0.00835,             0.00835,             0.00835
                   7,            0.031361,            0.024395,           0.0029294,             0.85415,              0.7475,             0.81044,             0.56481,            0.024671,            0.024636,           0.0031843,             0.00802,             0.00802,             0.00802
                   8,            0.030934,            0.024179,           0.0028457,             0.82844,              0.7198,             0.77296,             0.54375,            0.025328,            0.029787,           0.0050463,             0.00769,             0.00769,             0.00769
                   9,            0.030448,             0.02401,           0.0028007,             0.84181,             0.71383,             0.77008,             0.54719,            0.025014,            0.030971,           0.0051783,             0.00736,             0.00736,             0.00736
                  10,            0.030135,            0.023622,           0.0027544,             0.84177,             0.73823,              0.7972,             0.56691,            0.023899,            0.028528,           0.0032342,             0.00703,             0.00703,             0.00703
                  11,            0.029762,            0.023416,           0.0026856,             0.84672,             0.72126,             0.78046,             0.55836,            0.024614,            0.029715,           0.0043884,              0.0067,              0.0067,              0.0067
                  12,            0.029484,            0.023277,           0.0026292,             0.83523,             0.75386,             0.80476,             0.57917,            0.023571,            0.025166,           0.0039326,             0.00637,             0.00637,             0.00637
                  13,            0.029186,            0.023104,           0.0026016,             0.84927,             0.74984,             0.80529,             0.58164,              0.0231,            0.025254,           0.0034569,             0.00604,             0.00604,             0.00604
                  14,            0.028896,            0.022867,           0.0025253,             0.84375,             0.73604,             0.79051,             0.57198,            0.023548,            0.027831,           0.0041733,             0.00571,             0.00571,             0.00571
                  15,            0.028564,            0.022735,           0.0025044,             0.83119,             0.72705,             0.77383,             0.56219,            0.024096,            0.029608,           0.0051579,             0.00538,             0.00538,             0.00538
                  16,            0.028339,            0.022615,           0.0024559,             0.83908,             0.72661,             0.77503,             0.56479,            0.024008,            0.028927,           0.0054244,             0.00505,             0.00505,             0.00505
                  17,             0.02795,            0.022209,           0.0023635,             0.84296,             0.72723,             0.77622,             0.56614,            0.023945,             0.02894,           0.0055767,             0.00472,             0.00472,             0.00472
                  18,            0.027832,            0.022187,           0.0022981,             0.84049,             0.73273,             0.78119,             0.56996,            0.023785,            0.028507,           0.0054587,             0.00439,             0.00439,             0.00439
                  19,             0.02758,            0.021923,           0.0023115,             0.83969,             0.73248,             0.78002,             0.57087,            0.023784,            0.028636,            0.005577,             0.00406,             0.00406,             0.00406
                  20,            0.027375,            0.021713,           0.0022746,             0.83925,              0.7342,             0.78064,             0.57116,             0.02378,            0.028692,           0.0056835,             0.00373,             0.00373,             0.00373
                  21,            0.027101,            0.021644,           0.0022483,             0.83346,             0.73461,              0.7787,             0.56992,            0.023826,            0.029015,           0.0058451,              0.0034,              0.0034,              0.0034
                  22,            0.026921,            0.021546,           0.0021846,             0.83166,             0.73714,             0.78021,             0.57166,            0.023701,            0.029042,           0.0057363,             0.00307,             0.00307,             0.00307
                  23,            0.026568,            0.021265,            0.002111,              0.8259,             0.73826,             0.77988,             0.57183,            0.023662,            0.029357,           0.0057226,             0.00274,             0.00274,             0.00274
                  24,            0.026281,            0.020993,           0.0020576,             0.82784,             0.73714,             0.77963,             0.57192,            0.023657,            0.029596,           0.0057809,             0.00241,             0.00241,             0.00241
                  25,             0.02614,            0.021027,           0.0020519,             0.83205,             0.73539,             0.77992,             0.57208,            0.023625,            0.029821,           0.0057823,             0.00208,             0.00208,             0.00208
                  26,            0.025785,            0.020586,           0.0019981,             0.83369,             0.73428,             0.78039,             0.57274,            0.023574,            0.029959,           0.0057291,             0.00175,             0.00175,             0.00175
                  27,            0.025647,            0.020601,            0.001967,              0.8325,             0.73568,             0.78056,             0.57314,            0.023563,            0.030095,           0.0057533,             0.00142,             0.00142,             0.00142
                  28,            0.025293,            0.020241,           0.0018949,             0.83323,             0.73547,             0.78106,             0.57419,            0.023533,            0.030182,           0.0057396,             0.00109,             0.00109,             0.00109
                  29,             0.02504,            0.020035,           0.0018524,             0.82973,              0.7358,              0.7795,             0.57384,             0.02358,            0.030573,           0.0058344,             0.00076,             0.00076,             0.00076
