               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.07549,             0.04824,            0.016899,             0.52823,             0.54624,             0.54068,             0.23881,             0.05204,            0.031727,           0.0071735,            0.070069,           0.0033257,           0.0033257
                   1,            0.058753,            0.041136,           0.0071154,             0.66118,             0.63012,              0.6913,             0.37032,            0.043361,            0.030209,           0.0051192,            0.039849,           0.0064393,           0.0064393
                   2,            0.052813,            0.039029,           0.0060665,             0.78181,             0.66413,             0.75034,             0.42604,            0.038779,            0.030129,           0.0044414,           0.0094095,           0.0093328,           0.0093328
                   3,            0.046969,            0.037845,           0.0053856,             0.82295,              0.6989,             0.79846,             0.47861,            0.034177,            0.030839,            0.004063,             0.00901,             0.00901,             0.00901
                   4,            0.043368,             0.03669,           0.0047991,             0.82065,             0.67886,             0.78852,             0.48837,            0.033603,            0.032248,           0.0040968,             0.00901,             0.00901,             0.00901
                   5,            0.040655,            0.035897,           0.0043284,             0.84189,             0.68668,             0.79611,             0.51029,            0.031985,             0.03122,           0.0037005,             0.00868,             0.00868,             0.00868
                   6,            0.039257,            0.035532,           0.0041724,             0.83355,             0.67618,             0.78921,             0.50795,             0.03166,            0.032311,           0.0037124,             0.00835,             0.00835,             0.00835
                   7,            0.037808,             0.03462,           0.0038697,             0.80146,             0.66584,             0.77008,             0.49481,            0.032646,            0.034238,           0.0039552,             0.00802,             0.00802,             0.00802
                   8,            0.036665,            0.034334,           0.0037127,             0.82815,              0.6655,             0.77215,             0.50484,            0.031846,            0.035691,           0.0044052,             0.00769,             0.00769,             0.00769
                   9,            0.035572,            0.033372,           0.0035216,             0.84192,              0.6658,             0.77505,              0.4987,            0.030905,            0.036436,           0.0038543,             0.00736,             0.00736,             0.00736
                  10,            0.034509,            0.032923,           0.0033668,             0.83534,             0.65961,             0.77405,             0.50785,            0.030649,            0.035601,           0.0036196,             0.00703,             0.00703,             0.00703
                  11,            0.033821,            0.032644,           0.0032554,             0.83585,             0.67064,             0.77954,             0.51988,            0.030557,            0.038807,           0.0040089,              0.0067,              0.0067,              0.0067
                  12,            0.033339,            0.032351,           0.0031368,             0.83545,             0.68601,              0.7991,             0.53226,            0.028868,            0.034215,            0.003312,             0.00637,             0.00637,             0.00637
                  13,            0.032581,            0.031722,           0.0031604,             0.84987,             0.68846,             0.80268,             0.54242,            0.028392,            0.032562,           0.0034136,             0.00604,             0.00604,             0.00604
                  14,            0.032275,            0.031834,           0.0029701,             0.84796,             0.69378,             0.80326,             0.53461,             0.02918,             0.03316,           0.0035067,             0.00571,             0.00571,             0.00571
                  15,            0.031457,            0.031202,           0.0028886,             0.84222,             0.69224,             0.79656,              0.5359,            0.028663,            0.034239,           0.0036374,             0.00538,             0.00538,             0.00538
                  16,            0.030976,            0.030884,           0.0027729,             0.85388,             0.68175,             0.80055,             0.54887,            0.027983,            0.034131,           0.0038979,             0.00505,             0.00505,             0.00505
                  17,            0.030784,            0.030438,           0.0027978,             0.84488,             0.66937,              0.7869,             0.53654,            0.028715,             0.03511,           0.0033341,             0.00472,             0.00472,             0.00472
                  18,            0.030112,            0.030576,           0.0026583,             0.84307,             0.68876,             0.79734,             0.53974,            0.028443,            0.033529,           0.0029092,             0.00439,             0.00439,             0.00439
                  19,            0.029524,            0.029798,           0.0025715,             0.85907,             0.66816,              0.7897,             0.54095,            0.028297,            0.035293,           0.0033114,             0.00406,             0.00406,             0.00406
                  20,            0.029376,            0.029779,           0.0025261,             0.86307,             0.69064,             0.81074,             0.55828,            0.027724,            0.033786,           0.0033082,             0.00373,             0.00373,             0.00373
                  21,            0.028874,             0.02931,           0.0024268,             0.85435,              0.6765,             0.79955,             0.55066,            0.027918,             0.03553,           0.0031077,              0.0034,              0.0034,              0.0034
                  22,            0.028406,             0.02899,           0.0023742,             0.86464,             0.66577,             0.79148,             0.54472,            0.028057,            0.035792,           0.0034758,             0.00307,             0.00307,             0.00307
                  23,            0.028224,             0.02885,           0.0023278,             0.85824,             0.66534,             0.79617,             0.55381,            0.028307,             0.03706,           0.0034698,             0.00274,             0.00274,             0.00274
                  24,            0.028069,            0.028941,           0.0022944,             0.86456,             0.67153,             0.79467,             0.55364,            0.028131,            0.036774,           0.0032612,             0.00241,             0.00241,             0.00241
                  25,            0.027653,            0.028449,           0.0021969,             0.86471,             0.67206,             0.79717,             0.55926,            0.027663,            0.036291,            0.003492,             0.00208,             0.00208,             0.00208
                  26,             0.02723,            0.028009,           0.0021446,             0.85662,             0.66647,             0.78752,             0.54796,            0.028226,            0.037059,            0.003951,             0.00175,             0.00175,             0.00175
                  27,            0.027358,            0.028199,           0.0021596,             0.85282,             0.67726,              0.7948,             0.55668,            0.027889,             0.03614,           0.0036487,             0.00142,             0.00142,             0.00142
                  28,            0.026989,            0.027608,           0.0020254,             0.84714,             0.68903,             0.79831,             0.55992,            0.027594,            0.035909,           0.0033761,             0.00109,             0.00109,             0.00109
                  29,              0.0267,            0.027269,           0.0020287,             0.86361,             0.67955,             0.80402,             0.56605,            0.027512,             0.03595,           0.0034551,             0.00076,             0.00076,             0.00076
