               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.020042,           0.0081333,          0.00044021,              0.8953,             0.92683,             0.94829,             0.72466,            0.017697,           0.0042484,          0.00044084,            0.070036,           0.0033294,           0.0033294
                   1,            0.021487,           0.0083885,          0.00048973,              0.8938,             0.92174,             0.94651,             0.71048,            0.018593,           0.0043171,          0.00055625,            0.039816,           0.0064429,           0.0064429
                   2,            0.023334,           0.0088502,          0.00063351,             0.86925,             0.90826,             0.93386,             0.65698,            0.021115,           0.0049685,          0.00061076,           0.0093758,           0.0093363,           0.0093363
                   3,            0.024587,           0.0094435,          0.00075866,             0.88911,             0.88839,             0.93197,             0.66961,            0.020914,           0.0049329,          0.00063003,             0.00901,             0.00901,             0.00901
                   4,            0.024191,           0.0093166,           0.0007706,             0.87871,             0.90526,             0.93134,             0.67419,            0.020753,           0.0047814,          0.00064488,             0.00901,             0.00901,             0.00901
                   5,            0.023715,           0.0090856,          0.00068777,             0.87378,             0.87986,             0.92441,             0.66388,              0.0208,           0.0048322,          0.00076527,             0.00868,             0.00868,             0.00868
                   6,            0.023326,           0.0090257,          0.00064908,             0.87636,             0.92253,             0.94049,             0.68428,            0.019809,           0.0046724,          0.00067066,             0.00835,             0.00835,             0.00835
                   7,             0.02278,           0.0088798,          0.00063309,             0.88295,             0.90395,             0.93899,             0.68533,            0.019327,           0.0046473,          0.00057633,             0.00802,             0.00802,             0.00802
                   8,            0.022383,           0.0088547,          0.00058205,              0.8834,             0.91061,             0.93414,             0.69285,            0.019025,           0.0046233,          0.00062253,             0.00769,             0.00769,             0.00769
                   9,            0.021991,           0.0086624,          0.00053898,             0.88509,              0.9331,              0.9422,             0.70099,            0.019006,           0.0044155,          0.00054488,             0.00736,             0.00736,             0.00736
                  10,            0.021722,            0.008537,           0.0006206,             0.87515,             0.93097,              0.9425,             0.70506,            0.018601,           0.0043579,          0.00054446,             0.00703,             0.00703,             0.00703
                  11,             0.02161,           0.0085546,          0.00060292,             0.88521,             0.93612,             0.94414,             0.70305,            0.018496,           0.0043497,          0.00055964,              0.0067,              0.0067,              0.0067
                  12,            0.021198,           0.0083317,          0.00050705,             0.89724,             0.92771,              0.9492,             0.71034,            0.018058,           0.0042924,          0.00055021,             0.00637,             0.00637,             0.00637
                  13,             0.02095,           0.0083281,           0.0005517,             0.87477,             0.93513,             0.94289,             0.71141,            0.017718,           0.0043474,          0.00050575,             0.00604,             0.00604,             0.00604
                  14,            0.020732,           0.0082864,          0.00050999,             0.90028,             0.91912,             0.94525,             0.71319,            0.018002,           0.0043416,          0.00047519,             0.00571,             0.00571,             0.00571
