               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.065195,            0.024828,            0.016013,             0.68806,             0.41754,             0.44305,             0.21021,            0.045424,            0.011208,            0.012511,            0.070034,           0.0033296,           0.0033296
                   1,            0.044927,             0.01527,           0.0053357,             0.75315,             0.74328,             0.75998,             0.40376,             0.03751,           0.0073463,           0.0028923,            0.039814,            0.006443,            0.006443
                   2,            0.039027,            0.012665,           0.0026787,             0.81045,             0.85265,             0.86798,              0.4921,            0.031625,             0.00684,           0.0021632,           0.0093741,           0.0093365,           0.0093365
                   3,            0.034267,             0.01197,           0.0020274,             0.81107,             0.86269,             0.88064,             0.54787,            0.028689,            0.006793,           0.0017226,             0.00901,             0.00901,             0.00901
                   4,            0.030677,            0.011203,           0.0015655,             0.87497,             0.87513,             0.90843,             0.58381,             0.02642,           0.0059995,           0.0016803,             0.00901,             0.00901,             0.00901
                   5,            0.028478,            0.010703,           0.0014291,             0.86641,             0.86914,             0.90576,             0.59889,            0.024511,           0.0057125,           0.0016526,             0.00868,             0.00868,             0.00868
                   6,            0.026991,              0.0103,           0.0012171,             0.88996,             0.88256,             0.91973,             0.61917,            0.023879,            0.005552,           0.0012566,             0.00835,             0.00835,             0.00835
                   7,            0.025871,            0.009949,           0.0011072,             0.88006,              0.9025,             0.92347,             0.63938,            0.022836,           0.0053432,           0.0012229,             0.00802,             0.00802,             0.00802
                   8,            0.025177,           0.0097907,            0.001051,              0.8855,             0.89131,             0.92737,             0.64336,            0.022485,           0.0052481,           0.0012678,             0.00769,             0.00769,             0.00769
                   9,            0.024352,           0.0095643,          0.00099145,             0.88826,             0.90472,             0.93334,             0.64667,            0.021936,           0.0050866,           0.0010842,             0.00736,             0.00736,             0.00736
                  10,            0.023782,           0.0093845,           0.0010112,             0.89588,             0.91397,             0.94186,             0.66961,            0.020597,           0.0049181,           0.0010512,             0.00703,             0.00703,             0.00703
                  11,             0.02319,           0.0092822,          0.00091497,             0.89703,             0.92258,             0.93901,             0.67665,            0.020477,           0.0047887,           0.0010269,              0.0067,              0.0067,              0.0067
                  12,            0.022615,           0.0091038,          0.00082663,             0.88785,             0.92905,             0.94123,             0.68294,            0.020245,           0.0047593,          0.00096705,             0.00637,             0.00637,             0.00637
                  13,            0.022115,           0.0089714,          0.00091948,             0.90506,             0.91239,             0.94831,             0.68988,            0.019713,           0.0046317,          0.00092305,             0.00604,             0.00604,             0.00604
                  14,            0.021877,           0.0087253,          0.00073321,             0.90183,             0.91378,             0.94665,             0.69308,            0.019406,           0.0045578,          0.00091677,             0.00571,             0.00571,             0.00571
                  15,            0.021428,           0.0088001,          0.00081602,             0.89171,             0.92152,             0.94648,             0.70545,            0.018903,           0.0045578,            0.001126,             0.00538,             0.00538,             0.00538
                  16,            0.021108,           0.0085556,          0.00087878,             0.89452,             0.93234,             0.94909,             0.70587,            0.018654,           0.0045228,          0.00094961,             0.00505,             0.00505,             0.00505
                  17,            0.020715,           0.0085671,          0.00078745,             0.90366,             0.92788,             0.95067,             0.71079,             0.01835,           0.0045036,          0.00089581,             0.00472,             0.00472,             0.00472
                  18,            0.020207,           0.0084574,          0.00076334,             0.91655,             0.91479,              0.9475,             0.71233,            0.018016,           0.0044208,           0.0008865,             0.00439,             0.00439,             0.00439
                  19,            0.019826,           0.0083077,           0.0006047,             0.89507,             0.93431,             0.95006,             0.71964,            0.017625,           0.0043526,          0.00084914,             0.00406,             0.00406,             0.00406
                  20,            0.019692,           0.0082712,          0.00069245,             0.90938,             0.92521,             0.95111,             0.72356,            0.017686,           0.0043018,          0.00085945,             0.00373,             0.00373,             0.00373
                  21,            0.019186,             0.00808,          0.00064177,             0.91336,             0.92662,             0.95418,             0.72719,            0.017436,           0.0042283,          0.00082195,              0.0034,              0.0034,              0.0034
                  22,            0.018937,           0.0080149,          0.00063427,             0.90907,             0.92523,             0.94973,             0.72331,            0.017318,           0.0042152,          0.00083316,             0.00307,             0.00307,             0.00307
                  23,            0.018619,           0.0079066,          0.00054158,             0.91317,             0.93389,             0.95675,             0.73681,            0.016841,           0.0041602,          0.00078708,             0.00274,             0.00274,             0.00274
                  24,            0.018367,           0.0077885,          0.00058674,             0.90666,             0.93736,             0.95292,             0.73503,            0.016887,           0.0041872,          0.00076786,             0.00241,             0.00241,             0.00241
                  25,            0.018056,           0.0077111,          0.00061285,             0.90815,             0.93465,             0.95418,             0.73483,            0.016633,           0.0041145,          0.00076563,             0.00208,             0.00208,             0.00208
                  26,            0.017784,           0.0075946,          0.00052705,             0.90415,             0.93764,             0.95445,              0.7364,            0.016598,           0.0041264,          0.00074292,             0.00175,             0.00175,             0.00175
                  27,            0.017445,           0.0074827,          0.00053039,             0.90298,             0.94204,             0.95448,             0.74075,            0.016328,           0.0040708,          0.00076962,             0.00142,             0.00142,             0.00142
                  28,            0.017191,           0.0074751,          0.00053929,             0.89807,             0.94635,             0.95471,             0.74389,            0.016241,           0.0040667,          0.00075974,             0.00109,             0.00109,             0.00109
                  29,            0.016899,           0.0073214,          0.00045338,             0.90976,             0.93869,             0.95599,             0.74793,            0.016155,           0.0040232,          0.00075383,             0.00076,             0.00076,             0.00076
